[set,]image_path[,label,x1,y1,,,x2,y2,,]
UNASSIGNED,gs://bhacks2020/images/maksssksksss299.png,no_mask,0.2059800664451827,0.485,,,0.53156146179402,0.8,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss528.png,no_mask,0.14285714285714285,0.4225,,,0.4950166112956811,0.77,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss272.png,improper_mask,0.17454545454545456,0.2675,,,0.7927272727272727,0.76,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.07,0.29213483146067415,,,0.1075,0.3707865168539326,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.4,0.24719101123595505,,,0.44,0.31086142322097376,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.435,0.12359550561797752,,,0.465,0.1947565543071161,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.505,0.149812734082397,,,0.54,0.2209737827715356,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,no_mask,0.5925,0.15355805243445692,,,0.62,0.21722846441947566,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,improper_mask,0.6225,0.1647940074906367,,,0.665,0.24719101123595505,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.745,0.14232209737827714,,,0.7775,0.20224719101123595,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.8325,0.19101123595505617,,,0.865,0.26217228464419473,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,mask,0.9375,0.1760299625468165,,,0.965,0.23595505617977527,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss514.png,improper_mask,0.965,0.1647940074906367,,,1,0.2397003745318352,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss500.png,mask,0.3754152823920266,0.575,,,0.717607973421927,0.92,,
UNASSIGNED,gs://bhacks2020/images/maksssksksss266.png,mask,0.24584717607973422,0.5125,,,0.5980066445182725,0.825,,
